model 1,model 2,model 3,model 1 cutoff,model 2 cutoff,model 3 cutoff, ember, mlsec
initial,adversarial_benign,msf_benign,0.993,0.028,0.056,94,90
initial,adversarial_benign,undetect_all,0.993,0.028,0.01,94,92
initial,adversarial_benign,undetect_benign,0.993,0.028,0.234,94,90
initial,adversarial_benign,msf_all,0.993,0.03,0.028,94,89
initial,adversarial_benign,msf_benign,0.993,0.03,0.053,94,90
initial,adversarial_benign,undetect_all,0.993,0.03,0.01,94,91
initial,adversarial_benign,undetect_benign,0.993,0.03,0.234,94,89
initial,adversarial_benign,msf_all,0.993,0.033,0.025,94,89
initial,adversarial_benign,msf_benign,0.993,0.033,0.05,94,90
initial,adversarial_benign,undetect_all,0.993,0.033,0.009,94,91
initial,adversarial_benign,undetect_benign,0.993,0.033,0.234,94,89
initial,adversarial_benign,msf_all,0.993,0.037,0.024,94,89
initial,adversarial_benign,msf_benign,0.993,0.037,0.048,94,90
initial,adversarial_benign,undetect_all,0.993,0.037,0.009,94,91
initial,adversarial_benign,undetect_benign,0.993,0.037,0.234,94,89
initial,adversarial_benign,msf_all,0.993,0.041,0.024,94,89
initial,adversarial_benign,msf_benign,0.993,0.041,0.045,94,92
initial,adversarial_benign,undetect_all,0.993,0.041,0.008,94,91
initial,adversarial_benign,undetect_benign,0.993,0.041,0.234,94,89
initial,adversarial_benign,msf_all,0.993,0.048,0.022,93,89
initial,adversarial_benign,msf_benign,0.993,0.048,0.043,94,91
initial,adversarial_benign,undetect_all,0.993,0.048,0.008,93,91
initial,adversarial_benign,undetect_benign,0.993,0.048,0.234,94,89
initial,adversarial_benign,msf_all,0.993,0.059,0.021,93,87
initial,adversarial_benign,msf_benign,0.993,0.059,0.042,94,90
initial,adversarial_benign,undetect_all,0.993,0.059,0.008,93,89
initial,adversarial_benign,undetect_benign,0.993,0.059,0.234,93,87
initial,adversarial_benign,msf_all,0.993,0.074,0.021,93,85
initial,adversarial_benign,msf_benign,0.993,0.074,0.04,94,88
initial,adversarial_benign,undetect_all,0.993,0.074,0.008,93,87
initial,adversarial_benign,undetect_benign,0.993,0.074,0.234,93,85
initial,adversarial_benign,msf_all,0.993,0.115,0.02,93,82
initial,adversarial_benign,msf_benign,0.993,0.115,0.04,94,85
initial,adversarial_benign,undetect_all,0.993,0.115,0.007,93,84
initial,adversarial_benign,undetect_benign,0.993,0.115,0.234,93,82
initial,adversarial_benign,msf_all,0.993,0.19,0.02,93,78
initial,adversarial_benign,msf_benign,0.993,0.19,0.039,94,82
initial,adversarial_benign,undetect_all,0.993,0.19,0.007,93,81
initial,adversarial_benign,undetect_benign,0.993,0.19,0.234,93,78
initial,adversarial_benign,msf_all,0.993,2,0.019,93,52
initial,adversarial_benign,msf_benign,0.993,2,0.037,94,60
initial,adversarial_benign,undetect_all,0.993,2,0.007,93,58
initial,adversarial_benign,undetect_benign,0.993,2,0.234,93,48
initial,adversarial_benign,msf_all,0.995,0.02,2,93,90
initial,adversarial_benign,msf_benign,0.995,0.02,2,93,90
initial,adversarial_benign,undetect_all,0.995,0.02,2,93,90
initial,adversarial_benign,undetect_benign,0.995,0.02,2,93,90
initial,adversarial_benign,msf_all,0.995,0.021,0.053,93,90
initial,adversarial_benign,msf_benign,0.995,0.021,0.081,93,90
initial,adversarial_benign,undetect_all,0.995,0.021,0.016,93,92
initial,adversarial_benign,undetect_benign,0.995,0.021,0.275,93,90
initial,adversarial_benign,msf_all,0.995,0.023,0.041,93,90
initial,adversarial_benign,msf_benign,0.995,0.023,0.066,94,90
initial,adversarial_benign,undetect_all,0.995,0.023,0.013,93,92
initial,adversarial_benign,undetect_benign,0.995,0.023,0.256,93,90
initial,adversarial_benign,msf_all,0.995,0.024,0.034,93,90
initial,adversarial_benign,msf_benign,0.995,0.024,0.059,94,90
initial,adversarial_benign,undetect_all,0.995,0.024,0.012,93,92
initial,adversarial_benign,undetect_benign,0.995,0.024,0.24,93,90
initial,adversarial_benign,msf_all,0.995,0.026,0.03,93,90
initial,adversarial_benign,msf_benign,0.995,0.026,0.056,94,90
initial,adversarial_benign,undetect_all,0.995,0.026,0.01,93,92
initial,adversarial_benign,undetect_benign,0.995,0.026,0.234,93,90
initial,adversarial_benign,msf_all,0.995,0.028,0.028,93,90
initial,adversarial_benign,msf_benign,0.995,0.028,0.053,94,90
initial,adversarial_benign,undetect_all,0.995,0.028,0.01,93,92
initial,adversarial_benign,undetect_benign,0.995,0.028,0.234,93,90
initial,adversarial_benign,msf_all,0.995,0.03,0.025,93,89
initial,adversarial_benign,msf_benign,0.995,0.03,0.05,94,90
initial,adversarial_benign,undetect_all,0.995,0.03,0.009,93,91
initial,adversarial_benign,undetect_benign,0.995,0.03,0.234,93,89
initial,adversarial_benign,msf_all,0.995,0.033,0.024,93,89
initial,adversarial_benign,msf_benign,0.995,0.033,0.048,94,90
initial,adversarial_benign,undetect_all,0.995,0.033,0.009,93,91
initial,adversarial_benign,undetect_benign,0.995,0.033,0.234,93,89
initial,adversarial_benign,msf_all,0.995,0.037,0.024,93,89
initial,adversarial_benign,msf_benign,0.995,0.037,0.045,94,92
initial,adversarial_benign,undetect_all,0.995,0.037,0.008,93,91
initial,adversarial_benign,undetect_benign,0.995,0.037,0.234,93,89
initial,adversarial_benign,msf_all,0.995,0.041,0.022,93,89
initial,adversarial_benign,msf_benign,0.995,0.041,0.043,93,92
initial,adversarial_benign,undetect_all,0.995,0.041,0.008,93,91
initial,adversarial_benign,undetect_benign,0.995,0.041,0.234,93,89
initial,adversarial_benign,msf_all,0.995,0.048,0.021,93,89
initial,adversarial_benign,msf_benign,0.995,0.048,0.042,93,91
initial,adversarial_benign,undetect_all,0.995,0.048,0.008,93,91
initial,adversarial_benign,undetect_benign,0.995,0.048,0.234,93,88
initial,adversarial_benign,msf_all,0.995,0.059,0.021,93,87
initial,adversarial_benign,msf_benign,0.995,0.059,0.04,93,90
initial,adversarial_benign,undetect_all,0.995,0.059,0.008,93,89
initial,adversarial_benign,undetect_benign,0.995,0.059,0.234,93,87
initial,adversarial_benign,msf_all,0.995,0.074,0.02,93,85
initial,adversarial_benign,msf_benign,0.995,0.074,0.04,93,88
initial,adversarial_benign,undetect_all,0.995,0.074,0.007,93,87
initial,adversarial_benign,undetect_benign,0.995,0.074,0.234,93,85
initial,adversarial_benign,msf_all,0.995,0.115,0.02,93,82
initial,adversarial_benign,msf_benign,0.995,0.115,0.039,93,85
initial,adversarial_benign,undetect_all,0.995,0.115,0.007,92,84
initial,adversarial_benign,undetect_benign,0.995,0.115,0.234,93,81
initial,adversarial_benign,msf_all,0.995,0.19,0.019,92,78
initial,adversarial_benign,msf_benign,0.995,0.19,0.037,93,82
initial,adversarial_benign,undetect_all,0.995,0.19,0.007,92,81
initial,adversarial_benign,undetect_benign,0.995,0.19,0.234,92,77
initial,adversarial_benign,msf_all,0.995,2,0.018,92,50
initial,adversarial_benign,msf_benign,0.995,2,0.036,93,59
initial,adversarial_benign,undetect_all,0.995,2,0.007,92,57
initial,adversarial_benign,undetect_benign,0.995,2,0.234,92,46
initial,adversarial_benign,msf_all,0.997,0.019,2,93,90
initial,adversarial_benign,msf_benign,0.997,0.019,2,93,90
initial,adversarial_benign,undetect_all,0.997,0.019,2,93,90
initial,adversarial_benign,undetect_benign,0.997,0.019,2,93,90
initial,adversarial_benign,msf_all,0.997,0.02,0.053,93,90
initial,adversarial_benign,msf_benign,0.997,0.02,0.081,93,90
initial,adversarial_benign,undetect_all,0.997,0.02,0.016,93,92
initial,adversarial_benign,undetect_benign,0.997,0.02,0.275,93,90
initial,adversarial_benign,msf_all,0.997,0.021,0.041,93,90
initial,adversarial_benign,msf_benign,0.997,0.021,0.066,93,90
initial,adversarial_benign,undetect_all,0.997,0.021,0.013,93,92
initial,adversarial_benign,undetect_benign,0.997,0.021,0.256,93,90
initial,adversarial_benign,msf_all,0.997,0.023,0.034,93,90
initial,adversarial_benign,msf_benign,0.997,0.023,0.059,93,90
initial,adversarial_benign,undetect_all,0.997,0.023,0.012,93,92
initial,adversarial_benign,undetect_benign,0.997,0.023,0.24,93,90
initial,adversarial_benign,msf_all,0.997,0.024,0.03,93,90
initial,adversarial_benign,msf_benign,0.997,0.024,0.056,93,90
initial,adversarial_benign,undetect_all,0.997,0.024,0.01,93,92
initial,adversarial_benign,undetect_benign,0.997,0.024,0.234,93,90
initial,adversarial_benign,msf_all,0.997,0.026,0.028,93,89
initial,adversarial_benign,msf_benign,0.997,0.026,0.053,93,90
initial,adversarial_benign,undetect_all,0.997,0.026,0.01,93,92
initial,adversarial_benign,undetect_benign,0.997,0.026,0.234,93,89
initial,adversarial_benign,msf_all,0.997,0.028,0.025,93,89
initial,adversarial_benign,msf_benign,0.997,0.028,0.05,93,90
initial,adversarial_benign,undetect_all,0.997,0.028,0.009,93,91
initial,adversarial_benign,undetect_benign,0.997,0.028,0.234,93,89
initial,adversarial_benign,msf_all,0.997,0.03,0.024,93,89
initial,adversarial_benign,msf_benign,0.997,0.03,0.048,93,89
initial,adversarial_benign,undetect_all,0.997,0.03,0.009,92,91
initial,adversarial_benign,undetect_benign,0.997,0.03,0.234,93,89
initial,adversarial_benign,msf_all,0.997,0.033,0.024,92,89
initial,adversarial_benign,msf_benign,0.997,0.033,0.045,93,91
initial,adversarial_benign,undetect_all,0.997,0.033,0.008,92,91
initial,adversarial_benign,undetect_benign,0.997,0.033,0.234,92,89
initial,adversarial_benign,msf_all,0.997,0.037,0.022,92,89
initial,adversarial_benign,msf_benign,0.997,0.037,0.043,93,92
initial,adversarial_benign,undetect_all,0.997,0.037,0.008,92,91
initial,adversarial_benign,undetect_benign,0.997,0.037,0.234,92,89
initial,adversarial_benign,msf_all,0.997,0.041,0.021,92,89
initial,adversarial_benign,msf_benign,0.997,0.041,0.042,93,91
initial,adversarial_benign,undetect_all,0.997,0.041,0.008,92,91
initial,adversarial_benign,undetect_benign,0.997,0.041,0.234,92,88
initial,adversarial_benign,msf_all,0.997,0.048,0.021,92,88
initial,adversarial_benign,msf_benign,0.997,0.048,0.04,93,91
initial,adversarial_benign,undetect_all,0.997,0.048,0.008,92,90
initial,adversarial_benign,undetect_benign,0.997,0.048,0.234,92,88
initial,adversarial_benign,msf_all,0.997,0.059,0.02,92,87
initial,adversarial_benign,msf_benign,0.997,0.059,0.04,93,90
initial,adversarial_benign,undetect_all,0.997,0.059,0.007,92,89
initial,adversarial_benign,undetect_benign,0.997,0.059,0.234,92,86
initial,adversarial_benign,msf_all,0.997,0.074,0.02,92,85
initial,adversarial_benign,msf_benign,0.997,0.074,0.039,93,88
initial,adversarial_benign,undetect_all,0.997,0.074,0.007,92,86
initial,adversarial_benign,undetect_benign,0.997,0.074,0.234,92,84
initial,adversarial_benign,msf_all,0.997,0.115,0.019,92,81
initial,adversarial_benign,msf_benign,0.997,0.115,0.037,93,85
initial,adversarial_benign,undetect_all,0.997,0.115,0.007,92,83
initial,adversarial_benign,undetect_benign,0.997,0.115,0.234,92,81
initial,adversarial_benign,msf_all,0.997,0.19,0.018,92,77
initial,adversarial_benign,msf_benign,0.997,0.19,0.036,93,82
initial,adversarial_benign,undetect_all,0.997,0.19,0.007,92,80
initial,adversarial_benign,undetect_benign,0.997,0.19,0.234,92,77
initial,adversarial_benign,msf_all,0.997,2,0.018,91,49
initial,adversarial_benign,msf_benign,0.997,2,0.035,92,58
initial,adversarial_benign,undetect_all,0.997,2,0.006,91,55
initial,adversarial_benign,undetect_benign,0.997,2,0.234,91,45
initial,adversarial_benign,msf_all,0.999,0.019,2,92,90
initial,adversarial_benign,msf_benign,0.999,0.019,2,92,90
initial,adversarial_benign,undetect_all,0.999,0.019,2,92,90
initial,adversarial_benign,undetect_benign,0.999,0.019,2,92,90
initial,adversarial_benign,msf_all,0.999,0.019,0.053,92,90
initial,adversarial_benign,msf_benign,0.999,0.019,0.081,92,90
initial,adversarial_benign,undetect_all,0.999,0.019,0.016,92,92
initial,adversarial_benign,undetect_benign,0.999,0.019,0.275,92,90
initial,adversarial_benign,msf_all,0.999,0.02,0.041,91,90
initial,adversarial_benign,msf_benign,0.999,0.02,0.066,92,90
initial,adversarial_benign,undetect_all,0.999,0.02,0.013,92,92
initial,adversarial_benign,undetect_benign,0.999,0.02,0.256,92,90
initial,adversarial_benign,msf_all,0.999,0.021,0.034,91,90
initial,adversarial_benign,msf_benign,0.999,0.021,0.059,92,90
initial,adversarial_benign,undetect_all,0.999,0.021,0.012,91,92
initial,adversarial_benign,undetect_benign,0.999,0.021,0.24,91,90
initial,adversarial_benign,msf_all,0.999,0.023,0.03,91,89
initial,adversarial_benign,msf_benign,0.999,0.023,0.056,92,90
initial,adversarial_benign,undetect_all,0.999,0.023,0.01,91,92
initial,adversarial_benign,undetect_benign,0.999,0.023,0.234,91,89
initial,adversarial_benign,msf_all,0.999,0.024,0.028,91,89
initial,adversarial_benign,msf_benign,0.999,0.024,0.053,92,90
initial,adversarial_benign,undetect_all,0.999,0.024,0.01,91,92
initial,adversarial_benign,undetect_benign,0.999,0.024,0.234,91,89
initial,adversarial_benign,msf_all,0.999,0.026,0.025,91,89
initial,adversarial_benign,msf_benign,0.999,0.026,0.05,92,90
initial,adversarial_benign,undetect_all,0.999,0.026,0.009,91,91
initial,adversarial_benign,undetect_benign,0.999,0.026,0.234,91,89
initial,adversarial_benign,msf_all,0.999,0.028,0.024,91,89
initial,adversarial_benign,msf_benign,0.999,0.028,0.048,92,89
initial,adversarial_benign,undetect_all,0.999,0.028,0.009,91,91
initial,adversarial_benign,undetect_benign,0.999,0.028,0.234,91,89
initial,adversarial_benign,msf_all,0.999,0.03,0.024,91,89
initial,adversarial_benign,msf_benign,0.999,0.03,0.045,92,91
initial,adversarial_benign,undetect_all,0.999,0.03,0.008,91,91
initial,adversarial_benign,undetect_benign,0.999,0.03,0.234,91,89
initial,adversarial_benign,msf_all,0.999,0.033,0.022,91,89
initial,adversarial_benign,msf_benign,0.999,0.033,0.043,92,91
initial,adversarial_benign,undetect_all,0.999,0.033,0.008,91,91
initial,adversarial_benign,undetect_benign,0.999,0.033,0.234,91,88
initial,adversarial_benign,msf_all,0.999,0.037,0.021,91,88
initial,adversarial_benign,msf_benign,0.999,0.037,0.042,92,91
initial,adversarial_benign,undetect_all,0.999,0.037,0.008,91,90
initial,adversarial_benign,undetect_benign,0.999,0.037,0.234,91,88
initial,adversarial_benign,msf_all,0.999,0.041,0.021,91,88
initial,adversarial_benign,msf_benign,0.999,0.041,0.04,92,91
initial,adversarial_benign,undetect_all,0.999,0.041,0.008,90,90
initial,adversarial_benign,undetect_benign,0.999,0.041,0.234,91,88
initial,adversarial_benign,msf_all,0.999,0.048,0.02,90,88
initial,adversarial_benign,msf_benign,0.999,0.048,0.04,92,90
initial,adversarial_benign,undetect_all,0.999,0.048,0.007,90,90
initial,adversarial_benign,undetect_benign,0.999,0.048,0.234,90,87
initial,adversarial_benign,msf_all,0.999,0.059,0.02,90,86
initial,adversarial_benign,msf_benign,0.999,0.059,0.039,92,89
initial,adversarial_benign,undetect_all,0.999,0.059,0.007,90,88
initial,adversarial_benign,undetect_benign,0.999,0.059,0.234,90,86
initial,adversarial_benign,msf_all,0.999,0.074,0.019,90,84
initial,adversarial_benign,msf_benign,0.999,0.074,0.037,91,87
initial,adversarial_benign,undetect_all,0.999,0.074,0.007,90,85
initial,adversarial_benign,undetect_benign,0.999,0.074,0.234,90,83
initial,adversarial_benign,msf_all,0.999,0.115,0.018,90,80
initial,adversarial_benign,msf_benign,0.999,0.115,0.036,91,84
initial,adversarial_benign,undetect_all,0.999,0.115,0.007,90,82
initial,adversarial_benign,undetect_benign,0.999,0.115,0.234,90,80
initial,adversarial_benign,msf_all,0.999,0.19,0.018,90,76
initial,adversarial_benign,msf_benign,0.999,0.19,0.035,91,81
initial,adversarial_benign,undetect_all,0.999,0.19,0.006,90,79
initial,adversarial_benign,undetect_benign,0.999,0.19,0.234,90,75
initial,adversarial_benign,msf_all,0.999,2,0.017,89,48
initial,adversarial_benign,msf_benign,0.999,2,0.034,91,56
initial,adversarial_benign,undetect_all,0.999,2,0.006,89,53
initial,adversarial_benign,undetect_benign,0.999,2,0.234,89,42
initial,adversarial_benign,msf_all,1,0.018,2,90,90
initial,adversarial_benign,msf_benign,1,0.018,2,90,90
initial,adversarial_benign,undetect_all,1,0.018,2,90,90
initial,adversarial_benign,undetect_benign,1,0.018,2,90,90
initial,adversarial_benign,msf_all,1,0.019,0.053,90,90
initial,adversarial_benign,msf_benign,1,0.019,0.081,90,90
initial,adversarial_benign,undetect_all,1,0.019,0.016,90,92
initial,adversarial_benign,undetect_benign,1,0.019,0.275,90,90
initial,adversarial_benign,msf_all,1,0.019,0.041,90,90
initial,adversarial_benign,msf_benign,1,0.019,0.066,90,90
initial,adversarial_benign,undetect_all,1,0.019,0.013,90,92
initial,adversarial_benign,undetect_benign,1,0.019,0.256,90,90
initial,adversarial_benign,msf_all,1,0.02,0.034,90,89
initial,adversarial_benign,msf_benign,1,0.02,0.059,90,89
initial,adversarial_benign,undetect_all,1,0.02,0.012,90,91
initial,adversarial_benign,undetect_benign,1,0.02,0.24,90,89
initial,adversarial_benign,msf_all,1,0.021,0.03,89,89
initial,adversarial_benign,msf_benign,1,0.021,0.056,90,89
initial,adversarial_benign,undetect_all,1,0.021,0.01,89,91
initial,adversarial_benign,undetect_benign,1,0.021,0.234,90,89
initial,adversarial_benign,msf_all,1,0.023,0.028,89,89
initial,adversarial_benign,msf_benign,1,0.023,0.053,90,89
initial,adversarial_benign,undetect_all,1,0.023,0.01,89,91
initial,adversarial_benign,undetect_benign,1,0.023,0.234,89,89
initial,adversarial_benign,msf_all,1,0.024,0.025,89,89
initial,adversarial_benign,msf_benign,1,0.024,0.05,90,89
initial,adversarial_benign,undetect_all,1,0.024,0.009,89,91
initial,adversarial_benign,undetect_benign,1,0.024,0.234,89,89
initial,adversarial_benign,msf_all,1,0.026,0.024,89,89
initial,adversarial_benign,msf_benign,1,0.026,0.048,90,89
initial,adversarial_benign,undetect_all,1,0.026,0.009,89,91
initial,adversarial_benign,undetect_benign,1,0.026,0.234,89,89
initial,adversarial_benign,msf_all,1,0.028,0.024,89,88
initial,adversarial_benign,msf_benign,1,0.028,0.045,90,91
initial,adversarial_benign,undetect_all,1,0.028,0.008,89,91
initial,adversarial_benign,undetect_benign,1,0.028,0.234,89,88
initial,adversarial_benign,msf_all,1,0.03,0.022,89,88
initial,adversarial_benign,msf_benign,1,0.03,0.043,90,91
initial,adversarial_benign,undetect_all,1,0.03,0.008,89,90
initial,adversarial_benign,undetect_benign,1,0.03,0.234,89,88
initial,adversarial_benign,msf_all,1,0.033,0.021,88,88
initial,adversarial_benign,msf_benign,1,0.033,0.042,90,91
initial,adversarial_benign,undetect_all,1,0.033,0.008,88,90
initial,adversarial_benign,undetect_benign,1,0.033,0.234,89,88
initial,adversarial_benign,msf_all,1,0.037,0.021,88,88
initial,adversarial_benign,msf_benign,1,0.037,0.04,90,90
initial,adversarial_benign,undetect_all,1,0.037,0.008,88,90
initial,adversarial_benign,undetect_benign,1,0.037,0.234,88,87
initial,adversarial_benign,msf_all,1,0.041,0.02,88,87
initial,adversarial_benign,msf_benign,1,0.041,0.04,90,90
initial,adversarial_benign,undetect_all,1,0.041,0.007,88,89
initial,adversarial_benign,undetect_benign,1,0.041,0.234,88,87
initial,adversarial_benign,msf_all,1,0.048,0.02,88,86
initial,adversarial_benign,msf_benign,1,0.048,0.039,90,89
initial,adversarial_benign,undetect_all,1,0.048,0.007,88,88
initial,adversarial_benign,undetect_benign,1,0.048,0.234,88,86
initial,adversarial_benign,msf_all,1,0.059,0.019,88,85
initial,adversarial_benign,msf_benign,1,0.059,0.037,89,88
initial,adversarial_benign,undetect_all,1,0.059,0.007,88,87
initial,adversarial_benign,undetect_benign,1,0.059,0.234,88,85
initial,adversarial_benign,msf_all,1,0.074,0.018,88,82
initial,adversarial_benign,msf_benign,1,0.074,0.036,89,86
initial,adversarial_benign,undetect_all,1,0.074,0.007,88,84
initial,adversarial_benign,undetect_benign,1,0.074,0.234,88,82
initial,adversarial_benign,msf_all,1,0.115,0.018,87,79
initial,adversarial_benign,msf_benign,1,0.115,0.035,89,83
initial,adversarial_benign,undetect_all,1,0.115,0.006,87,81
initial,adversarial_benign,undetect_benign,1,0.115,0.234,88,78
initial,adversarial_benign,msf_all,1,0.19,0.017,87,77
initial,adversarial_benign,msf_benign,1,0.19,0.034,89,79
initial,adversarial_benign,undetect_all,1,0.19,0.006,87,77
initial,adversarial_benign,undetect_benign,1,0.19,0.234,87,74
initial,adversarial_benign,msf_all,1,2,0.017,87,45
initial,adversarial_benign,msf_benign,1,2,0.033,88,53
initial,adversarial_benign,undetect_all,1,2,0.006,87,49
initial,adversarial_benign,undetect_benign,1,2,0.234,87,38
initial,adversarial_benign,msf_all,1,0.017,2,60,88
initial,adversarial_benign,msf_benign,1,0.017,2,60,88
initial,adversarial_benign,undetect_all,1,0.017,2,60,88
initial,adversarial_benign,undetect_benign,1,0.017,2,60,88
initial,adversarial_benign,msf_all,1,0.018,0.053,60,88
initial,adversarial_benign,msf_benign,1,0.018,0.081,60,88
initial,adversarial_benign,undetect_all,1,0.018,0.016,60,90
initial,adversarial_benign,undetect_benign,1,0.018,0.275,60,88
initial,adversarial_benign,msf_all,1,0.019,0.041,59,88
initial,adversarial_benign,msf_benign,1,0.019,0.066,60,88
initial,adversarial_benign,undetect_all,1,0.019,0.013,59,90
initial,adversarial_benign,undetect_benign,1,0.019,0.256,60,88
initial,adversarial_benign,msf_all,1,0.019,0.034,59,87
initial,adversarial_benign,msf_benign,1,0.019,0.059,60,88
initial,adversarial_benign,undetect_all,1,0.019,0.012,59,89
initial,adversarial_benign,undetect_benign,1,0.019,0.24,59,87
initial,adversarial_benign,msf_all,1,0.02,0.03,58,87
initial,adversarial_benign,msf_benign,1,0.02,0.056,59,87
initial,adversarial_benign,undetect_all,1,0.02,0.01,58,89
initial,adversarial_benign,undetect_benign,1,0.02,0.234,58,87
initial,adversarial_benign,msf_all,1,0.021,0.028,58,87
initial,adversarial_benign,msf_benign,1,0.021,0.053,59,87
initial,adversarial_benign,undetect_all,1,0.021,0.01,58,89
initial,adversarial_benign,undetect_benign,1,0.021,0.234,58,87
initial,adversarial_benign,msf_all,1,0.023,0.025,57,86
initial,adversarial_benign,msf_benign,1,0.023,0.05,58,87
initial,adversarial_benign,undetect_all,1,0.023,0.009,57,88
initial,adversarial_benign,undetect_benign,1,0.023,0.234,57,86
initial,adversarial_benign,msf_all,1,0.024,0.024,56,86
initial,adversarial_benign,msf_benign,1,0.024,0.048,57,87
initial,adversarial_benign,undetect_all,1,0.024,0.009,56,88
initial,adversarial_benign,undetect_benign,1,0.024,0.234,56,86
initial,adversarial_benign,msf_all,1,0.026,0.024,56,85
initial,adversarial_benign,msf_benign,1,0.026,0.045,57,88
initial,adversarial_benign,undetect_all,1,0.026,0.008,56,87
initial,adversarial_benign,undetect_benign,1,0.026,0.234,56,85
initial,adversarial_benign,msf_all,1,0.028,0.022,55,85
initial,adversarial_benign,msf_benign,1,0.028,0.043,56,88
initial,adversarial_benign,undetect_all,1,0.028,0.008,55,87
initial,adversarial_benign,undetect_benign,1,0.028,0.234,55,85
initial,adversarial_benign,msf_all,1,0.03,0.021,54,84
initial,adversarial_benign,msf_benign,1,0.03,0.042,56,88
initial,adversarial_benign,undetect_all,1,0.03,0.008,54,86
initial,adversarial_benign,undetect_benign,1,0.03,0.234,54,84
initial,adversarial_benign,msf_all,1,0.033,0.021,53,84
initial,adversarial_benign,msf_benign,1,0.033,0.04,55,87
initial,adversarial_benign,undetect_all,1,0.033,0.008,53,86
initial,adversarial_benign,undetect_benign,1,0.033,0.234,53,84
initial,adversarial_benign,msf_all,1,0.037,0.02,52,83
initial,adversarial_benign,msf_benign,1,0.037,0.04,54,86
initial,adversarial_benign,undetect_all,1,0.037,0.007,52,85
initial,adversarial_benign,undetect_benign,1,0.037,0.234,52,83
initial,adversarial_benign,msf_all,1,0.041,0.02,51,82
initial,adversarial_benign,msf_benign,1,0.041,0.039,53,85
initial,adversarial_benign,undetect_all,1,0.041,0.007,51,84
initial,adversarial_benign,undetect_benign,1,0.041,0.234,51,82
initial,adversarial_benign,msf_all,1,0.048,0.019,50,81
initial,adversarial_benign,msf_benign,1,0.048,0.037,52,84
initial,adversarial_benign,undetect_all,1,0.048,0.007,50,83
initial,adversarial_benign,undetect_benign,1,0.048,0.234,50,80
initial,adversarial_benign,msf_all,1,0.059,0.018,49,78
initial,adversarial_benign,msf_benign,1,0.059,0.036,51,83
initial,adversarial_benign,undetect_all,1,0.059,0.007,49,81
initial,adversarial_benign,undetect_benign,1,0.059,0.234,49,78
initial,adversarial_benign,msf_all,1,0.074,0.018,45,75
initial,adversarial_benign,msf_benign,1,0.074,0.035,48,79
initial,adversarial_benign,undetect_all,1,0.074,0.006,45,77
initial,adversarial_benign,undetect_benign,1,0.074,0.234,46,75
initial,adversarial_benign,msf_all,1,0.115,0.017,42,71
initial,adversarial_benign,msf_benign,1,0.115,0.034,45,74
initial,adversarial_benign,undetect_all,1,0.115,0.006,42,71
initial,adversarial_benign,undetect_benign,1,0.115,0.234,42,68
initial,adversarial_benign,msf_all,1,0.19,0.017,38,64
initial,adversarial_benign,msf_benign,1,0.19,0.033,41,68
initial,adversarial_benign,undetect_all,1,0.19,0.006,38,65
initial,adversarial_benign,undetect_benign,1,0.19,0.234,38,61
initial,adversarial_benign,msf_all,1,2,0.016,0,8
initial,adversarial_benign,msf_benign,1,2,0.033,7,19
initial,adversarial_benign,undetect_all,1,2,0.006,0,13
initial,adversarial_benign,undetect_benign,1,2,0.234,1,1
initial,adversarial_benign,msf_all,2,0.017,2,61,88
initial,adversarial_benign,msf_benign,2,0.017,2,61,88
initial,adversarial_benign,undetect_all,2,0.017,2,61,88
initial,adversarial_benign,undetect_benign,2,0.017,2,61,88
initial,adversarial_benign,msf_all,2,0.017,0.053,60,88
initial,adversarial_benign,msf_benign,2,0.017,0.081,61,88
initial,adversarial_benign,undetect_all,2,0.017,0.016,60,90
initial,adversarial_benign,undetect_benign,2,0.017,0.275,61,88
initial,adversarial_benign,msf_all,2,0.018,0.041,60,88
initial,adversarial_benign,msf_benign,2,0.018,0.066,61,88
initial,adversarial_benign,undetect_all,2,0.018,0.013,60,90
initial,adversarial_benign,undetect_benign,2,0.018,0.256,60,88
initial,adversarial_benign,msf_all,2,0.019,0.034,59,88
initial,adversarial_benign,msf_benign,2,0.019,0.059,60,88
initial,adversarial_benign,undetect_all,2,0.019,0.012,59,90
initial,adversarial_benign,undetect_benign,2,0.019,0.24,60,88
initial,adversarial_benign,msf_all,2,0.019,0.03,59,87
initial,adversarial_benign,msf_benign,2,0.019,0.056,60,88
initial,adversarial_benign,undetect_all,2,0.019,0.01,59,89
initial,adversarial_benign,undetect_benign,2,0.019,0.234,59,87
initial,adversarial_benign,msf_all,2,0.02,0.028,58,87
initial,adversarial_benign,msf_benign,2,0.02,0.053,59,87
initial,adversarial_benign,undetect_all,2,0.02,0.01,58,89
initial,adversarial_benign,undetect_benign,2,0.02,0.234,58,87
initial,adversarial_benign,msf_all,2,0.021,0.025,58,87
initial,adversarial_benign,msf_benign,2,0.021,0.05,59,87
initial,adversarial_benign,undetect_all,2,0.021,0.009,58,89
initial,adversarial_benign,undetect_benign,2,0.021,0.234,58,87
initial,adversarial_benign,msf_all,2,0.023,0.024,57,86
initial,adversarial_benign,msf_benign,2,0.023,0.048,58,87
initial,adversarial_benign,undetect_all,2,0.023,0.009,57,88
initial,adversarial_benign,undetect_benign,2,0.023,0.234,57,86
initial,adversarial_benign,msf_all,2,0.024,0.024,56,86
initial,adversarial_benign,msf_benign,2,0.024,0.045,58,89
